valid_time,u100,v100,u10,v10,fg10,d2m,t2m,msl,skt,sp,ssrd,strd,tp,is_anomaly,anomaly_type
1970-06-23 19:00:00,4.003845,1.1812439,2.3497314,1.1049652,3.271012,276.44904,276.69104,101746.25,274.87375,100868.35,0.0,1049690.8,3.8146973e-06,0,
1970-06-23 20:00:00,4.6687164,1.894104,1.9038544,0.8112793,3.33774,276.702,276.95236,101889.625,275.34534,101007.72,0.0,1023040.7,8.678436e-05,0,
1970-06-23 21:00:00,5.151581,2.5085754,2.635498,1.0184937,4.642302,277.0368,277.67346,102013.31,277.44904,101129.25,95744.0,1031120.4,0.0010700226,0,
1970-06-23 22:00:00,2.802063,1.6592712,1.4912109,0.71432495,6.198239,279.64685,282.28732,102021.19,281.09525,101139.164,418816.0,1030159.25,0.0008635521,0,
1970-06-23 23:00:00,2.3274994,-0.14012146,1.618042,-0.38101196,6.5891056,279.63092,282.76837,102092.375,282.53912,101210.3,647552.0,1056203.4,0.000187397,0,
1970-06-24 00:00:00,2.541809,-0.9105377,1.947998,-0.69343567,5.8574166,280.22552,283.64648,102066.81,284.5752,101186.34,999424.0,1008700.75,9.536743e-07,0,
1970-06-24 01:00:00,1.5858612,-0.48214722,1.2284393,-0.32406616,5.5963464,280.16397,284.01016,101992.5,286.03195,101115.19,1103808.0,1016946.6,0.0,0,
1970-06-24 02:00:00,0.45924377,-0.66825867,0.2053833,-0.48666382,4.7568703,279.17194,285.3828,101934.06,286.28476,101059.05,1132352.0,1018167.4,0.0,0,
1970-06-24 03:00:00,-0.5135956,-0.74861145,-0.55874634,-0.50857544,3.4882498,280.05933,285.66068,101942.875,285.32727,101069.305,950464.0,975566.44,0.0,0,
1970-06-24 04:00:00,-1.585144,-0.61006165,-1.0760498,-0.29341125,2.2163467,281.17923,284.90454,101945.19,282.16534,101071.516,578944.0,946114.25,0.0,0,
1970-06-24 05:00:00,-2.1799316,-1.4030609,-2.4966888,-1.0065155,3.066173,278.24704,279.69275,101975.44,276.1228,101101.016,148416.0,924360.25,0.0,0,
1970-06-24 06:00:00,-1.7722778,-2.831314,-1.6394958,-2.174347,3.3429856,278.33905,279.5957,101979.625,275.38235,101106.34,0.0,914026.9,0.0,0,
1970-06-24 07:00:00,-0.89852905,-3.4374847,-0.55337524,-2.538742,3.5330763,278.29794,279.54517,102003.69,274.38922,101129.88,0.0,928702.9,0.0,0,
1970-06-24 08:00:00,0.27348328,-3.6025085,0.30323792,-2.2762756,3.3626106,277.8875,279.0589,101959.75,273.96466,101086.766,0.0,930850.4,0.0,0,
1970-06-24 09:00:00,1.2800903,-3.8880768,0.6745453,-2.0814667,3.265323,275.5918,276.10907,101926.375,273.6186,101051.85,0.0,944362.1,0.0,0,
1970-06-24 10:00:00,1.2113495,-4.6924286,0.53685,-2.1039734,3.4314015,275.3872,275.98456,102033.25,274.31647,101156.7,0.0,936500.44,0.0,0,
1970-06-24 11:00:00,2.4164429,-4.73349,0.84565735,-2.0817719,3.606244,274.8625,275.74384,101996.06,273.81485,101116.44,0.0,934137.56,0.0,0,
1970-06-24 12:00:00,3.0215912,-4.2803802,1.1665344,-2.098587,3.8486829,274.37207,275.38364,101956.625,273.30096,101075.84,0.0,916315.3,0.0,0,
1970-06-24 13:00:00,3.112854,-3.9729004,1.2076569,-2.2504272,3.7403514,274.11093,275.25494,101888.69,272.795,101006.35,0.0,898781.2,0.0,0,
1970-06-24 14:00:00,3.3924866,-3.2321167,1.6042633,-2.3050995,3.7377584,274.00134,275.3805,101876.125,272.53082,100992.91,0.0,898133.75,0.0,0,
1970-06-24 15:00:00,3.8460693,-2.4193268,2.0625,-1.8574677,3.6317627,273.6607,274.96597,101938.625,272.64975,101054.84,0.0,916983.1,0.0,0,
1970-06-24 16:00:00,4.62265,-2.0358887,2.3170624,-1.3970184,3.882157,273.69275,274.92154,101980.875,272.4087,101095.84,0.0,955531.44,0.0,0,
1970-06-24 17:00:00,5.1608124,-2.1174774,2.0380554,-1.2066803,4.159089,273.73694,275.0672,101961.56,272.891,101077.91,0.0,941970.06,0.0,0,
1970-06-24 18:00:00,5.0683136,-3.0225525,1.6249542,-1.3986053,4.203425,274.30887,275.8017,102036.625,273.52808,101154.56,0.0,960194.44,0.0,0,
1970-06-24 19:00:00,4.821869,-3.844635,1.5234528,-1.696701,3.7978737,274.3903,275.73584,102019.375,273.31677,101138.53,0.0,943804.6,0.0,0,
1970-06-24 20:00:00,4.3223267,-4.0216675,1.4050598,-1.7883453,3.7042172,274.54285,275.7923,102021.25,273.64136,101143.445,0.0,930136.9,0.0,0,
1970-06-24 21:00:00,3.8427124,-3.9125214,1.4189758,-1.7367859,3.3890424,275.51318,277.90372,102061.69,275.97668,101184.914,111040.0,937698.2,0.0,0,
